iter	RMSE
0	15.76070153
1	15.33456264
2	14.95460008
3	14.57804
4	14.23673449
5	13.89971332
6	13.60293994
7	13.31281388
8	13.04416857
9	12.79643844
10	12.56675895
11	12.338497
12	12.13524106
13	11.935361
14	11.75130555
15	11.57713241
16	11.41717516
17	11.25750231
18	11.11832674
19	10.981633
20	10.86742123
21	10.75421858
22	10.64300727
23	10.54579054
24	10.45154854
25	10.36665096
26	10.28228576
27	10.20985179
28	10.13310732
29	10.06526427
30	10.00259911
31	9.938130042
32	9.881675479
33	9.83342916
34	9.783690916
35	9.732712159
36	9.685482189
37	9.647931785
38	9.612663241
39	9.584025846
40	9.546759614
41	9.515756908
42	9.4892841
43	9.460944801
44	9.433954032
45	9.412666651
46	9.385974706
47	9.362780233
48	9.344261746
49	9.319777083
50	9.300135565
51	9.277414317
52	9.259408359
53	9.241262348
54	9.223818043
55	9.205960331
56	9.188022413
57	9.173124172
58	9.159171813
59	9.14897467
60	9.137299699
61	9.126553787
62	9.113866009
63	9.103615791
64	9.090482383
65	9.078927648
66	9.0679965
67	9.056022516
68	9.045592271
69	9.037640456
70	9.029282697
71	9.020315914
72	9.00998041
73	9.005967249
74	8.99852507
75	8.990360103
76	8.983226821
77	8.975068138
78	8.96531626
79	8.955778005
80	8.950150581
81	8.94352317
82	8.934967786
83	8.929759044
84	8.919496863
85	8.909763544
86	8.902371347
87	8.898151987
88	8.890685884
89	8.885716507
90	8.878832125
91	8.873379909
92	8.86446577
93	8.85857286
94	8.851070779
95	8.847397883
96	8.840695226
97	8.835356621
98	8.829250976
99	8.823517447
100	8.814749319
101	8.807373946
102	8.80091452
103	8.796607733
104	8.790551822
105	8.784896538
106	8.776818679
107	8.773064099
108	8.769290677
109	8.765389267
110	8.756882793
111	8.75156017
112	8.74533506
113	8.741162902
114	8.734121957
115	8.729370372
116	8.724767185
117	8.718585197
118	8.712256251
119	8.704389073
120	8.701834275
121	8.699822341
122	8.696010198
123	8.691101801
124	8.685768085
125	8.680060943
126	8.675733051
127	8.671513315
128	8.666302516
129	8.662621485
130	8.66112593
131	8.65549678
132	8.649166095
133	8.643145695
134	8.640809975
135	8.634192947
136	8.629878779
137	8.627371918
138	8.623318726
139	8.620274811
140	8.613256636
141	8.611746347
142	8.608081167
143	8.601689739
144	8.597741564
145	8.593266016
146	8.588644368
147	8.585070893
148	8.580811211
149	8.576452103
150	8.573282911
151	8.567718702
152	8.564219603
153	8.560736586
154	8.557593183
155	8.552523399
156	8.546260986
157	8.542469203
158	8.538752049
159	8.533077118
160	8.52833707
161	8.521004571
162	8.510976424
163	8.508144618
164	8.504458073
165	8.499976618
166	8.495623422
167	8.490502811
168	8.486089048
169	8.479610993
170	8.474814666
171	8.471571402
172	8.466776835
173	8.463966401
174	8.457556152
175	8.455577561
176	8.448311627
177	8.444766511
178	8.439895676
179	8.435830993
180	8.432125871
181	8.427719521
182	8.424147084
183	8.419373531
184	8.410983058
185	8.407106623
186	8.402726785
187	8.396839932
188	8.39135114
189	8.387652637
190	8.384008857
191	8.379165616
192	8.374096286
193	8.368406837
194	8.366045309
195	8.361787314
196	8.35602663
197	8.350073
198	8.346849923
199	8.342837615
200	8.334311314
201	8.329560108
202	8.326825776
203	8.32117536
204	8.317294197
205	8.312819467
206	8.308130831
207	8.304379411
208	8.296915532
209	8.291245669
210	8.288508193
211	8.285183467
212	8.28063057
213	8.27536225
214	8.270826843
215	8.266827985
216	8.263212991
217	8.258609222
218	8.255957456
219	8.25212007
220	8.246659444
221	8.241861783
222	8.238060136
223	8.233353986
224	8.223611478
225	8.219422981
226	8.216011187
227	8.212338614
228	8.208386399
229	8.202768306
230	8.198447468
231	8.19320682
232	8.188426157
233	8.180779447
234	8.175996507
235	8.17095254
236	8.164444571
237	8.161148159
238	8.156895437
239	8.153471153
240	8.148983
241	8.144538316
242	8.141377494
243	8.135733578
244	8.129495078
245	8.124176119
246	8.121266989
247	8.117975542
248	8.111680724
249	8.105109235
250	8.098251211
251	8.09361307
252	8.09221347
253	8.08504016
254	8.082288661
255	8.078677714
256	8.072573051
257	8.070011281
258	8.065328385
259	8.061671414
260	8.057919338
261	8.05151523
262	8.047223139
263	8.042581798
264	8.039111006
265	8.035886666
266	8.030673172
267	8.026414145
268	8.024332138
269	8.021050528
270	8.015090056
271	8.008202246
272	8.003733011
273	7.999918137
274	7.995462596
275	7.990997681
276	7.987679511
277	7.983762014
278	7.978943081
279	7.974853203
280	7.971333522
281	7.967275986
282	7.962751127
283	7.957050653
284	7.952178758
285	7.947731207
286	7.942903613
287	7.936977717
288	7.932045086
289	7.928345276
290	7.923823746
291	7.921806871
292	7.919079955
293	7.91374636
294	7.910508687
295	7.906371783
296	7.902819149
297	7.899299152
298	7.892113849
299	7.886851612
300	7.882320781
301	7.879137559
302	7.875487343
303	7.870028158
304	7.865934208
305	7.861506145
306	7.855598138
307	7.852108681
308	7.851176087
309	7.847866437
310	7.847017193
311	7.84432652
312	7.842830308
313	7.838453613
314	7.834485017
315	7.831131193
316	7.826160179
317	7.822088843
318	7.817886126
319	7.813505241
320	7.808944384
321	7.801975368
322	7.796649257
323	7.792631792
324	7.789929848
325	7.789044207
326	7.786056946
327	7.784421622
328	7.781958678
329	7.777401705
330	7.772904728
331	7.767705668
332	7.764340734
333	7.760801797
334	7.755533468
335	7.751621226
336	7.750182497
337	7.747806585
338	7.74525091
339	7.744127637
340	7.740909778
341	7.736492174
342	7.733684178
343	7.730461826
344	7.726038415
345	7.723657054
346	7.720416234
347	7.715632659
348	7.71163484
349	7.705954852
350	7.704065433
351	7.700120382
352	7.694659458
353	7.693566747
354	7.689491729
355	7.68612861
356	7.681325853
357	7.675758151
358	7.671371724
359	7.667949161
360	7.665547351
361	7.661106254
362	7.657179471
363	7.651673566
364	7.647162282
365	7.644112003
366	7.637026488
367	7.634593697
368	7.631377951
369	7.628062494
370	7.625479662
371	7.621968947
372	7.615885184
373	7.61288771
374	7.609423009
375	7.607340974
376	7.604557756
377	7.602075302
378	7.598581112
379	7.597162332
380	7.592768966
381	7.589282079
382	7.586750272
383	7.584518525
