iter	Passed	Remaining
0	2	2870
1	3	1973
2	4	1633
3	6	1588
4	7	1472
5	8	1421
6	9	1394
7	11	1387
8	12	1373
9	13	1372
10	15	1362
11	16	1364
12	18	1370
13	20	1449
14	22	1445
15	23	1447
16	25	1456
17	26	1442
18	27	1438
19	29	1435
20	30	1417
21	31	1407
22	33	1408
23	34	1421
24	36	1424
25	38	1435
26	39	1439
27	43	1494
28	44	1494
29	46	1489
30	47	1491
31	50	1527
32	51	1518
33	53	1512
34	54	1502
35	55	1493
36	57	1488
37	58	1486
38	60	1484
39	61	1484
40	63	1488
41	65	1496
42	67	1507
43	69	1514
44	71	1518
45	73	1530
46	75	1534
47	78	1549
48	80	1558
49	82	1560
50	83	1554
51	84	1546
52	86	1545
53	88	1542
54	89	1538
55	91	1536
56	92	1534
57	94	1526
58	95	1531
59	97	1525
60	98	1519
61	100	1516
62	101	1509
63	102	1502
64	104	1496
65	105	1487
66	106	1480
67	107	1475
68	108	1468
69	110	1466
70	111	1464
71	113	1461
72	114	1458
73	116	1454
74	117	1447
75	119	1450
76	120	1447
77	122	1444
78	123	1442
79	124	1436
80	127	1441
81	128	1441
82	129	1435
83	131	1428
84	132	1424
85	133	1420
86	135	1416
87	136	1412
88	137	1408
89	138	1402
90	140	1400
91	142	1402
92	144	1404
93	145	1403
94	146	1400
95	148	1395
96	149	1392
97	150	1385
98	152	1386
99	154	1387
100	155	1384
101	157	1384
102	158	1383
103	160	1381
104	161	1376
105	163	1379
106	164	1374
107	166	1372
108	167	1369
109	168	1367
110	170	1366
111	171	1362
112	173	1362
113	174	1358
114	176	1355
115	177	1352
116	178	1348
117	180	1346
118	181	1342
119	182	1339
120	183	1336
121	185	1333
122	186	1330
123	187	1326
124	189	1324
125	191	1330
126	193	1333
127	195	1332
128	196	1327
129	197	1323
130	199	1321
131	200	1318
132	201	1316
133	203	1313
134	204	1311
135	205	1308
136	207	1304
137	208	1301
138	209	1298
139	210	1295
140	212	1296
141	213	1292
142	215	1289
143	216	1286
144	217	1282
145	218	1279
146	220	1276
147	221	1273
148	222	1271
149	223	1269
150	225	1268
151	226	1265
152	228	1266
153	230	1263
154	231	1260
155	232	1257
156	233	1254
157	234	1251
158	236	1251
159	237	1248
160	239	1248
161	240	1245
162	242	1243
163	243	1240
164	245	1239
165	246	1236
166	248	1237
167	249	1234
168	250	1232
169	251	1228
170	252	1224
171	253	1221
172	254	1218
173	256	1216
174	257	1213
175	258	1210
176	259	1208
177	261	1205
178	262	1204
179	263	1201
180	265	1199
181	267	1201
182	268	1197
183	269	1194
184	270	1191
185	271	1189
186	273	1188
187	274	1185
188	275	1183
189	276	1180
190	278	1177
191	279	1175
192	280	1173
193	281	1170
194	282	1167
195	283	1164
196	285	1162
197	286	1159
198	287	1156
199	288	1154
200	289	1151
201	290	1149
202	292	1146
203	294	1148
204	295	1146
205	296	1144
206	297	1141
207	299	1139
208	300	1137
209	302	1136
210	303	1133
211	304	1131
212	305	1128
213	306	1126
214	307	1123
215	308	1121
216	310	1119
217	311	1118
218	313	1116
219	314	1114
220	315	1113
221	316	1110
222	318	1109
223	319	1106
224	320	1103
225	321	1101
226	322	1098
227	323	1096
228	325	1094
229	326	1092
230	328	1092
231	329	1089
232	330	1088
233	331	1085
234	332	1083
235	334	1081
236	335	1079
237	336	1076
238	337	1074
239	338	1072
240	339	1070
241	341	1069
242	342	1067
243	344	1068
244	345	1066
245	347	1064
246	348	1062
247	349	1060
248	351	1058
249	352	1056
250	353	1054
251	354	1052
252	355	1050
253	356	1047
254	358	1046
255	359	1044
256	360	1042
257	361	1040
258	362	1038
259	364	1036
260	365	1034
261	366	1032
262	367	1029
263	368	1027
264	369	1025
265	370	1023
266	372	1021
267	373	1020
268	375	1019
269	376	1017
270	377	1015
271	378	1013
272	379	1011
273	382	1013
274	383	1012
275	385	1010
276	386	1008
277	387	1006
278	388	1003
279	389	1002
280	391	1001
281	392	999
282	393	997
283	394	995
284	396	993
285	397	991
286	398	990
287	399	988
288	401	987
289	402	985
290	403	984
291	405	982
292	406	981
293	407	979
294	409	977
295	410	976
296	411	974
297	413	973
298	414	970
299	415	969
300	416	967
301	417	965
302	419	964
303	421	965
304	422	963
305	423	961
306	425	960
307	426	958
308	427	956
309	429	955
310	430	954
311	432	952
312	433	951
313	434	949
314	435	948
315	437	947
316	438	945
317	440	943
318	441	941
319	442	940
320	444	939
321	445	937
322	446	935
323	447	933
324	448	932
325	449	930
326	451	929
327	452	927
328	453	925
329	455	923
330	456	922
331	457	920
332	459	921
333	461	919
334	462	917
335	463	916
336	464	914
337	465	912
338	467	911
339	468	909
340	469	907
341	471	906
342	472	904
343	473	903
344	474	901
345	476	900
346	478	899
347	479	898
348	480	896
349	482	895
350	483	893
351	484	892
352	485	890
353	487	888
354	488	887
355	489	885
356	490	883
357	492	882
358	493	880
359	494	879
360	495	877
361	497	875
362	498	874
363	499	873
364	501	872
365	502	870
366	503	868
367	504	867
368	506	865
369	507	863
370	508	861
371	509	860
372	510	858
373	512	857
374	513	855
375	514	854
376	515	852
377	517	851
378	518	849
379	519	848
380	521	846
381	522	845
382	523	843
383	525	842
384	526	840
385	527	839
386	528	837
387	529	835
388	530	833
389	532	832
390	533	831
391	534	829
392	536	829
393	538	827
394	539	826
395	540	824
396	541	823
397	543	821
398	544	820
399	545	818
400	546	817
401	548	815
402	549	814
403	551	812
404	552	811
405	553	809
406	554	807
407	555	806
408	556	804
409	557	802
410	559	801
411	560	800
412	562	798
413	563	797
414	564	796
415	566	794
416	567	793
417	568	791
418	569	790
419	570	788
420	572	786
421	573	785
422	574	784
423	576	782
424	577	781
425	578	779
426	579	778
427	580	776
428	582	775
429	583	773
430	584	772
431	586	770
432	587	769
433	588	767
434	589	765
435	590	764
436	591	762
437	593	760
438	594	759
439	595	758
440	596	756
441	598	755
442	599	754
443	600	752
444	602	750
445	603	749
446	604	747
447	605	746
448	607	744
449	608	743
450	609	742
451	610	740
452	612	739
453	614	739
454	616	738
455	617	737
456	619	735
457	620	734
458	621	733
459	623	731
460	624	730
461	626	729
462	628	728
463	629	727
464	631	726
465	633	726
466	645	736
467	646	735
468	648	734
469	650	733
470	651	731
471	652	730
472	654	729
473	656	728
474	658	727
475	660	726
476	662	726
477	664	725
478	666	724
479	668	724
480	670	723
481	673	723
482	675	722
483	676	721
484	678	719
485	679	718
486	682	718
487	684	717
488	686	717
489	687	715
490	688	713
491	689	712
492	690	710
493	692	709
494	694	708
495	695	706
496	697	705
497	698	704
498	699	702
499	701	701
500	703	700
501	705	699
502	708	699
503	709	698
504	712	698
505	713	696
506	715	695
507	717	694
508	718	693
509	720	692
510	722	691
511	724	690
512	728	691
513	729	689
514	731	688
515	733	687
516	735	687
517	738	686
518	740	686
519	742	685
520	744	684
521	749	686
522	750	684
523	752	683
524	754	682
525	756	681
526	758	680
527	759	679
528	762	678
529	766	679
530	768	678
531	770	677
532	771	675
533	773	674
534	775	674
535	777	673
536	779	672
537	782	671
538	784	670
539	786	669
540	788	668
541	791	668
542	795	669
543	797	668
544	801	669
545	803	668
546	805	667
547	807	666
548	809	665
549	811	664
550	813	663
551	815	661
552	816	660
553	818	658
554	820	657
555	822	657
556	825	656
557	828	656
558	830	655
559	832	653
560	833	652
561	837	652
562	839	651
563	841	650
564	843	649
565	844	647
566	845	646
567	847	644
568	849	643
569	851	642
570	853	641
571	856	640
572	858	639
573	860	638
574	862	637
575	864	636
576	865	634
577	867	633
578	870	633
579	875	633
580	877	633
581	880	632
582	884	632
583	887	631
584	889	630
585	891	629
586	893	628
587	894	626
588	896	625
589	897	623
590	899	622
591	902	621
592	903	620
593	905	618
594	906	617
595	909	616
